clip_id,subject_id,is_deceptive
trial_lie_001.mp4,S001,1
trial_lie_002.mp4,S001,1
trial_lie_003.mp4,S001,1
trial_lie_004.mp4,S001,1
trial_lie_005.mp4,S001,1
trial_lie_006.mp4,S001,1
trial_lie_007.mp4,S002,1
trial_lie_008.mp4,S002,1
trial_lie_009.mp4,S002,1
trial_lie_010.mp4,S002,1
trial_lie_011.mp4,S002,1
trial_lie_012.mp4,S002,1
trial_lie_013.mp4,S002,1
trial_lie_014.mp4,S003,1
trial_lie_015.mp4,S003,1
trial_lie_016.mp4,S003,1
trial_lie_017.mp4,S003,1
trial_lie_018.mp4,S003,1
trial_lie_019.mp4,S003,1
trial_lie_020.mp4,S003,1
trial_lie_021.mp4,S003,1
trial_lie_022.mp4,S003,1
trial_lie_023.mp4,S003,1
trial_lie_024.mp4,S003,1
trial_lie_025.mp4,S003,1
trial_lie_026.mp4,S003,1
trial_lie_027.mp4,S003,1
trial_lie_028.mp4,S003,1
trial_lie_029.mp4,S003,1
trial_lie_030.mp4,S003,1
trial_lie_031.mp4,S003,1
trial_lie_032.mp4,S004,1
trial_lie_033.mp4,S005,1
trial_lie_034.mp4,S005,1
trial_lie_035.mp4,S006,1
trial_lie_036.mp4,S007,1
trial_lie_037.mp4,S008,1
trial_lie_038.mp4,S008,1
trial_lie_039.mp4,S008,1
trial_lie_040.mp4,S008,1
trial_lie_041.mp4,S009,1
trial_lie_042.mp4,S009,1
trial_lie_043.mp4,S009,1
trial_lie_044.mp4,S010,1
trial_lie_045.mp4,S011,1
trial_lie_046.mp4,S012,1
trial_lie_047.mp4,S012,1
trial_lie_048.mp4,S012,1
trial_lie_049.mp4,S012,1
trial_lie_050.mp4,S007,1
trial_lie_051.mp4,S007,1
trial_lie_052.mp4,S013,1
trial_lie_053.mp4,S014,1
trial_lie_054.mp4,S003,1
trial_lie_055.mp4,S003,1
trial_lie_056.mp4,S003,1
trial_lie_057.mp4,S003,1
trial_lie_058.mp4,S015,1
trial_lie_059.mp4,S016,1
trial_lie_060.mp4,S016,1
trial_lie_061.mp4,S016,1
trial_truth_001.mp4,S017,0
trial_truth_002.mp4,S017,0
trial_truth_003.mp4,S002,0
trial_truth_004.mp4,S002,0
trial_truth_005.mp4,S002,0
trial_truth_006.mp4,S002,0
trial_truth_007.mp4,S002,0
trial_truth_008.mp4,S003,0
trial_truth_009.mp4,S003,0
trial_truth_010.mp4,S003,0
trial_truth_011.mp4,S003,0
trial_truth_012.mp4,S003,0
trial_truth_013.mp4,S003,0
trial_truth_014.mp4,S003,0
trial_truth_015.mp4,S003,0
trial_truth_016.mp4,S019,0
trial_truth_017.mp4,S019,0
trial_truth_018.mp4,S020,0
trial_truth_019.mp4,S020,0
trial_truth_020.mp4,S021,0
trial_truth_021.mp4,S022,0
trial_truth_022.mp4,S023,0
trial_truth_023.mp4,S024,0
trial_truth_024.mp4,S025,0
trial_truth_025.mp4,S025,0
trial_truth_026.mp4,S006,0
trial_truth_027.mp4,S026,0
trial_truth_028.mp4,S004,0
trial_truth_029.mp4,S027,0
trial_truth_030.mp4,S028,0
trial_truth_031.mp4,S027,0
trial_truth_032.mp4,S027,0
trial_truth_033.mp4,S027,0
trial_truth_034.mp4,S027,0
trial_truth_035.mp4,S027,0
trial_truth_036.mp4,S027,0
trial_truth_037.mp4,S029,0
trial_truth_038.mp4,S027,0
trial_truth_039.mp4,S005,0
trial_truth_040.mp4,S005,0
trial_truth_041.mp4,S028,0
trial_truth_042.mp4,S028,0
trial_truth_043.mp4,S028,0
trial_truth_044.mp4,S030,0
trial_truth_045.mp4,S030,0
trial_truth_046.mp4,S030,0
trial_truth_047.mp4,S030,0
trial_truth_048.mp4,S030,0
trial_truth_049.mp4,S006,0
trial_truth_050.mp4,S031,0
trial_truth_051.mp4,S032,0
trial_truth_052.mp4,S033,0
trial_truth_053.mp4,S008,0
trial_truth_054.mp4,S003,0
trial_truth_055.mp4,S003,0
trial_truth_056.mp4,S003,0
trial_truth_057.mp4,S001,0
trial_truth_058.mp4,S001,0
trial_truth_059.mp4,S001,0
trial_truth_060.mp4,S008,0
