clip_id,subject_id,is_deceptive,pitch_mean,pitch_stdv,sil_hist_00,sil_hist_01,sil_hist_02,sil_hist_03,sil_hist_04,sil_hist_05,sil_hist_06,sil_hist_07,sil_hist_08,sil_hist_09,sil_hist_10,sil_hist_11,sil_hist_12,sil_hist_13,sil_hist_14,sil_hist_15,sil_hist_16,sil_hist_17,sil_hist_18,sil_hist_19,sil_hist_20,sil_hist_21,sil_hist_22,sil_hist_23,sil_hist_24,sp_hist_00,sp_hist_01,sp_hist_02,sp_hist_03,sp_hist_04,sp_hist_05,sp_hist_06,sp_hist_07,sp_hist_08,sp_hist_09,sp_hist_10,sp_hist_11,sp_hist_12,sp_hist_13,sp_hist_14,sp_hist_15,sp_hist_16,sp_hist_17,sp_hist_18,sp_hist_19,sp_hist_20,sp_hist_21,sp_hist_22,sp_hist_23,sp_hist_24,intensity_mean,intensity_std,jitter_local,shimmer_local,hnr_mean,speaking_rate,f0_voiced_frac
trial_lie_001.mp4,S001,1,182.14090613161122,94.83887478561455,5.0,8.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.28581720566761,10.688876835263034,0.026783591169495205,0.12662996833527132,11.095682904567681,47.75943396226415,0.47844063792085056
trial_lie_002.mp4,S001,1,186.06371637245417,47.27822067437393,11.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,68.84742136435369,11.44964044296288,0.01879759085377631,0.0981988866939601,12.72195334772862,58.82982500887709,0.588630904723779
trial_lie_003.mp4,S001,1,146.39688574734632,105.88523639409242,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.65450662018172,13.099927048018372,0.021226346819345893,0.13089303056053256,10.322517251672902,39.893498606398985,0.40114613180515757
trial_lie_004.mp4,S001,1,185.10152894444235,52.27030001299013,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.31174209435855,11.983329370333765,0.017669433893273294,0.09589358935812885,13.54939521447315,57.14779005524862,0.5731601731601732
trial_lie_005.mp4,S001,1,180.85854781202133,44.97618961050071,9.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,63.65762252149845,12.647376181947374,0.017480119136823534,0.0959693329296786,14.129335870568042,54.60635849579794,0.5464593480704384
trial_lie_006.mp4,S001,1,245.00800982272452,59.733376688173344,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,63.73515933931321,13.719908879053172,0.02039066227857992,0.10547120201559322,13.860554486110356,55.45774647887325,0.5556780595369349
trial_lie_007.mp4,S002,1,178.50685868027944,41.262995182399614,14.0,11.0,7.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,56.30278973506154,7.42803368188612,0.019975097097416405,0.15656107728380433,10.22679850124587,59.68433700479683,0.5972608602610743
trial_lie_008.mp4,S002,1,170.97462323019658,62.489290175407476,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.88201158052508,5.387674295505228,0.035871130690055444,0.1824531606131157,6.545283719553614,61.76488328608481,0.6204986149584487
trial_lie_009.mp4,S002,1,164.23118623204144,54.24424314854379,6.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,53.137782078698784,7.311540573490461,0.02246703295369439,0.14530612333207912,9.765994479733237,47.26319875776397,0.4735051045211473
trial_lie_010.mp4,S002,1,160.8994363380824,44.09878782396606,9.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,53.42754708995165,7.793926741848933,0.023618304052934667,0.15635802811629315,8.731443950429773,51.2609649122807,0.5132075471698113
trial_lie_011.mp4,S002,1,201.6390383802856,43.037785017287945,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,50.420706697829914,8.993340023085738,0.02937630336755198,0.1671120253470643,8.44232076113357,34.84434410646388,0.3487957181088314
trial_lie_012.mp4,S002,1,179.7333464265191,51.64096204736162,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53.68158827189793,7.6209709056418244,0.030265232932659803,0.17656735439008547,9.409212380702321,62.92442540860275,0.6317135549872123
